city_folder,country,latitude,longitude
hasselt,Belgium,50.9307,5.3325
mons,Belgium,50.4542,3.9567
kortrijk,Belgium,50.828,3.2649
ostend,Belgium,51.23,2.92
salzburg,Austria,47.8095,13.055
innsbruck,Austria,47.2692,11.4041
linz,Austria,48.3069,14.2858
klagenfurt,Austria,46.6247,14.3053
villach,Austria,46.6103,13.8558
wels,Austria,48.1575,14.0289
sankt_polten,Austria,48.2035,15.6256
eisenstadt,Austria,47.8457,16.5233
bern,Switzerland,46.948,7.4474
lausanne,Switzerland,46.5197,6.6323
lucerne,Switzerland,47.0502,8.3093
lugano,Switzerland,46.0037,8.9511
winterthur,Switzerland,47.4988,8.7241
st_gallen,Switzerland,47.4245,9.3767
fribourg,Switzerland,46.8065,7.1619
neuchatel,Switzerland,46.9896,6.9293
gdansk,Poland,54.352,18.6466
gdynia,Poland,54.5189,18.5305
sopot,Poland,54.4416,18.5601
poznan,Poland,52.4064,16.9252
odz,Poland,51.7592,19.456
szczecin,Poland,53.4285,14.5528
bydgoszcz,Poland,53.1235,18.0084
torun,Poland,53.0138,18.5984
lublin,Poland,51.2465,22.5684
katowice,Poland,50.2649,19.0238
rzeszow,Poland,50.0412,21.9991
biaystok,Poland,53.1325,23.1688
kielce,Poland,50.8661,20.6286
opole,Poland,50.6751,17.9213
olsztyn,Poland,53.7784,20.4801
brno,Czechia,49.1951,16.6068
ostrava,Czechia,49.8209,18.2625
plzen,Czechia,49.7384,13.3736
liberec,Czechia,50.7663,15.0543
pardubice,Czechia,50.0343,15.7812
zlin,Czechia,49.2244,17.6628
jihlava,Czechia,49.3961,15.5912
karlovy_vary,Czechia,50.2319,12.8719
braga,Portugal,41.5454,-8.4265
coimbra,Portugal,40.2033,-8.4103
aveiro,Portugal,40.6405,-8.6538
faro,Portugal,37.0194,-7.9304
setubal,Portugal,38.5244,-8.8882
evora,Portugal,38.5714,-7.9135
viseu,Portugal,40.6566,-7.9125
leiria,Portugal,39.7436,-8.8071
guimaraes,Portugal,41.4425,-8.2918
funchal,Portugal,32.6669,-16.9241
aarhus,Denmark,56.1629,10.2039
aalborg,Denmark,57.0488,9.9217
odense,Denmark,55.4038,10.4024
malmo,Sweden,55.605,13.0038
gothenburg,Sweden,57.7089,11.9746
uppsala,Sweden,59.8586,17.6389
vasteras,Sweden,59.6099,16.5448
orebro,Sweden,59.2753,15.2134
bergen,Norway,60.3913,5.3221
trondheim,Norway,63.4305,10.3951
stavanger,Norway,58.97,5.7331
turku,Finland,60.4518,22.2666
kaunas,Lithuania,54.8985,23.9036
klaipeda,Lithuania,55.7033,21.1443
siauliai,Lithuania,55.9349,23.3137
daugavpils,Latvia,55.8747,26.5362
liepaja,Latvia,56.5047,21.0108
parnu,Estonia,58.3859,24.4971
ljubljana,Slovenia,46.0569,14.5058
bratislava,Slovakia,48.1486,17.1077
split,Croatia,43.5081,16.4402
sakai,Japan,34.5733,135.483
saitama,Japan,35.8617,139.6455
hachioji,Japan,35.6664,139.316
funabashi,Japan,35.6947,139.9826
ichikawa,Japan,35.7219,139.931
matsudo,Japan,35.7877,139.9032
kashiwa,Japan,35.8676,139.9758
machida,Japan,35.5486,139.4468
fujisawa,Japan,35.3392,139.4911
yokosuka,Japan,35.2813,139.6722
hiratsuka,Japan,35.3355,139.3497
odawara,Japan,35.2646,139.1521
atsugi,Japan,35.4431,139.3625
sagamihara,Japan,35.5714,139.3732
kofu,Japan,35.6639,138.5683
nagano,Japan,36.6485,138.195
matsumoto,Japan,36.238,137.972
toyama,Japan,36.6953,137.2113
fukui,Japan,36.0641,136.2196
gifu,Japan,35.4233,136.7607
toyota,Japan,35.0833,137.1562
okazaki,Japan,34.9543,137.1744
ichinomiya,Japan,35.3039,136.8028
yokkaichi,Japan,34.965,136.6244
otsu,Japan,35.0179,135.8546
nara,Japan,34.6851,135.8048
wakayama,Japan,34.2305,135.1708
himeji,Japan,34.8151,134.6853
kurashiki,Japan,34.585,133.7721
fukuyama,Japan,34.4859,133.3623
kure,Japan,34.2493,132.5657
shimonoseki,Japan,33.9578,130.9415
takamatsu,Japan,34.3428,134.0466
tokushima,Japan,34.0703,134.5548
kochi,Japan,33.5597,133.5311
saga,Japan,33.2635,130.3009
nagasaki,Japan,32.7503,129.8779
oita,Japan,33.2396,131.6093
miyazaki,Japan,31.9077,131.4202
kurume,Japan,33.3193,130.5084
changhua,Taiwan,24.0756,120.544
pingtung,Taiwan,22.6761,120.4942
yilan,Taiwan,24.757,121.753
miaoli,Taiwan,24.5602,120.8214
douliu,Taiwan,23.7092,120.4313
chiayi,Taiwan,23.4801,120.4491
nantou,Taiwan,23.9157,120.6849
zhubei,Taiwan,24.8387,121.0177
yuanlin,Taiwan,23.9565,120.576
taitung,Taiwan,22.7554,121.15
shah_alam,Malaysia,3.0738,101.5183
petaling_jaya,Malaysia,3.1073,101.6067
subang_jaya,Malaysia,3.0567,101.5851
klang,Malaysia,3.0438,101.4456
malacca_city,Malaysia,2.1896,102.2501
seremban,Malaysia,2.7297,101.9381
kota_kinabalu,Malaysia,5.9804,116.0735
miri,Malaysia,4.3995,113.9914
sibu,Malaysia,2.2873,111.8305
alor_setar,Malaysia,6.1184,100.3685
pasig,Philippines,14.5764,121.0851
taguig,Philippines,14.5176,121.0509
pasay,Philippines,14.5378,121.0014
mandaluyong,Philippines,14.5794,121.0359
paranaque,Philippines,14.4793,121.0198
muntinlupa,Philippines,14.4081,121.0415
caloocan,Philippines,14.6507,120.9676
baguio,Philippines,16.4023,120.596
bacolod,Philippines,10.6765,122.9509
cagayan_de_oro_p,Philippines,8.4542,124.6319
soweto,South Africa,-26.2485,27.854
sandton,South Africa,-26.1076,28.0567
midrand,South Africa,-25.9992,28.1263
centurion,South Africa,-25.8603,28.1894
germiston,South Africa,-26.2259,28.1708
boksburg,South Africa,-26.212,28.2596
alberton,South Africa,-26.2679,28.1223
kempton_park,South Africa,-26.1009,28.2336
roodepoort,South Africa,-26.1625,27.8725
randburg,South Africa,-26.0941,28.0012
springs,South Africa,-26.2547,28.4428
brakpan,South Africa,-26.2366,28.3694
vereeniging,South Africa,-26.6731,27.9261
vanderbijlpark,South Africa,-26.7117,27.8379
krugersdorp,South Africa,-26.0858,27.7752
klerksdorp,South Africa,-26.8521,26.6667
welkom,South Africa,-27.9774,26.7351
bethlehem,South Africa,-28.2308,28.3071
sasolburg,South Africa,-26.8136,27.816
richards_bay,South Africa,-28.7807,32.0383
empangeni,South Africa,-28.7616,31.8933
newcastle,South Africa,-27.7579,29.9318
ladysmith,South Africa,-28.5539,29.7827
paarl,South Africa,-33.7342,18.9621
worcester,South Africa,-33.6465,19.4485
mossel_bay,South Africa,-34.1831,22.146
knysna,South Africa,-34.0351,23.0465
oudtshoorn,South Africa,-33.5907,22.2014
upington,South Africa,-28.4478,21.2561
mahikeng,South Africa,-25.8652,25.6442
ariana,Tunisia,36.8665,10.1647
ben_arous,Tunisia,36.7531,10.2189
nabeul,Tunisia,36.4561,10.7376
kairouan,Tunisia,35.6781,10.0963
gabes,Tunisia,33.8815,10.0982
gafsa,Tunisia,34.425,8.7842
mahdia,Tunisia,35.5047,11.0622
zarzis,Tunisia,33.5039,11.1122
houmt_souk,Tunisia,33.8758,10.8575
beja,Tunisia,36.7256,9.1817
maroochydore,Australia,-26.6527,153.0903
caloundra,Australia,-26.804,153.121
noosa_heads,Australia,-26.396,153.089
hervey_bay,Australia,-25.288,152.84
bundaberg,Australia,-24.8661,152.3489
gladstone,Australia,-23.8487,151.262
maryborough,Australia,-25.5377,152.7041
gympie,Australia,-26.1903,152.6656
ipswich,Australia,-27.6167,152.7608
logan_city,Australia,-27.6392,153.1094
redcliffe,Australia,-27.2307,153.1094
caboolture,Australia,-27.0846,152.951
tweed_heads,Australia,-28.1767,153.5452
port_macquarie,Australia,-31.4333,152.9167
tamworth,Australia,-31.0905,150.929
armidale,Australia,-30.5142,151.669
dubbo,Australia,-32.2569,148.6011
orange,Australia,-33.2839,149.1013
bathurst,Australia,-33.4193,149.5775
wagga_wagga,Australia,-35.1082,147.3598
griffith,Australia,-34.2885,146.0509
goulburn,Australia,-34.7516,149.72
nowra,Australia,-34.8746,150.6005
maitland,Australia,-32.7337,151.5571
cessnock,Australia,-32.8328,151.3514
gosford,Australia,-33.425,151.3422
wyong,Australia,-33.2823,151.4255
queanbeyan,Australia,-35.3549,149.232
lismore,Australia,-28.8135,153.2773
ballina,Australia,-28.8689,153.5594
byron_bay,Australia,-28.6474,153.602
broken_hill,Australia,-31.9539,141.4539
mildura,Australia,-34.1855,142.1625
shepparton,Australia,-36.3831,145.3994
warrnambool,Australia,-38.3832,142.485
traralgon,Australia,-38.1953,146.5415
sale,Australia,-38.1109,147.068
morwell,Australia,-38.2348,146.3949
bairnsdale,Australia,-37.8251,147.6284
wangaratta,Australia,-36.3587,146.3175
wodonga,Australia,-36.1218,146.8881
echuca,Australia,-36.1406,144.7519
horsham,Australia,-36.7113,142.1998
swan_hill,Australia,-35.3378,143.5544
mount_gambier,Australia,-37.8284,140.7804
whyalla,Australia,-33.0333,137.5833
port_augusta,Australia,-32.4925,137.7658
port_lincoln,Australia,-34.72,135.858
murray_bridge,Australia,-35.1199,139.2735
victor_harbor,Australia,-35.5503,138.6209
alice_springs,Australia,-23.698,133.8807
palmerston,Australia,-12.486,130.9833
katherine,Australia,-14.4652,132.2635
devonport,Australia,-41.1769,146.3515
burnie,Australia,-41.0529,145.9064
ulverstone,Australia,-41.1603,146.17
kingston,Australia,-42.9765,147.3087
glenorchy,Australia,-42.833,147.275
sorell,Australia,-42.7818,147.5627
karratha,Australia,-20.7367,116.8463
geraldton,Australia,-28.7774,114.6149
albany,Australia,-35.0269,117.8837
kalgoorlie,Australia,-30.7489,121.4658
esperance,Australia,-33.8613,121.8914
broome,Australia,-17.9614,122.2359
mandurah,Australia,-32.5269,115.7217
joondalup,Australia,-31.745,115.766
rockingham,Australia,-32.2768,115.7298
fremantle,Australia,-32.0569,115.7439
armadale,Australia,-32.151,116.015
busselton,Australia,-33.652,115.3455
margaret_river,Australia,-33.953,115.0739
northam,Australia,-31.654,116.6702
port_hedland,Australia,-20.3107,118.606
newman,Australia,-23.3564,119.731
lower_hutt,New Zealand,-41.2127,174.8997
upper_hutt,New Zealand,-41.1244,175.0708
porirua,New Zealand,-41.1338,174.8407
new_plymouth,New Zealand,-39.0556,174.0752
whangarei,New Zealand,-35.7251,174.3237
invercargill,New Zealand,-46.4132,168.3538
hastings,New Zealand,-39.6381,176.8492
gisborne,New Zealand,-38.6623,178.0176
blenheim,New Zealand,-41.5134,173.9612
timaru,New Zealand,-44.3967,171.2536
queenstown,New Zealand,-45.0312,168.6626
ashburton,New Zealand,-43.9036,171.7481
whanganui,New Zealand,-39.9333,175.05
taupo,New Zealand,-38.6857,176.0702
masterton,New Zealand,-40.9511,175.6574
