n,city,country,continent,anchor,lat,lon,terrain_m,poi_alt_m
337,Stara Zagora,Bulgaria,Europe,Stara Zagora City Center,42.4167,25.6167,208.0,235.0
338,Varna,Bulgaria,Europe,Varna City Center,43.2,27.95,-3.0,24.0
339,Chania,Greece,Europe,Chania City Center,35.5167,24.0167,11.0,38.0
340,Heraklion,Greece,Europe,Heraklion City Center,35.3333,25.2,1.0,28.0
341,Kavala,Greece,Europe,Kavala City Center,41.0833,24.9167,33.0,60.0
342,Larissa,Greece,Europe,Larissa City Center,39.6333,22.4167,85.0,112.0
343,Patras,Greece,Europe,Patras City Center,38.2333,21.7333,15.0,42.0
344,Piraeus,Greece,Europe,Piraeus City Center,37.95,23.7,30.0,57.0
345,Serres,Greece,Europe,Serres City Center,41.0833,23.5167,41.0,68.0
346,Volos,Greece,Europe,Volos City Center,39.3667,22.95,16.0,43.0
347,Belgrade,Serbia,Europe,Belgrade City Center,44.8333,20.5,71.0,98.0
348,Niš,Serbia,Europe,Niš City Center,43.3333,21.9,206.0,233.0
349,Novi Sad,Serbia,Europe,Novi Sad City Center,45.25,19.85,84.0,111.0
350,Osijek,Croatia,Europe,Osijek City Center,45.55,18.6833,86.0,113.0
351,Košice,Slovakia,Europe,Košice City Center,48.7333,21.25,216.0,243.0
352,Apeldoorn,Netherlands,Europe,Apeldoorn City Center,52.2167,5.95,26.0,53.0
353,L'Hospitalet de Llobregat,Spain,Europe,L'Hospitalet de Llobregat City Center,41.35,2.1,13.0,40.0
354,Las Palmas de Gran Canaria,Spain,Europe,Las Palmas de Gran Canaria City Center,28.1,-15.4,-35.0,-8.0
355,Amadora,Portugal,Europe,Amadora City Center,38.75,-9.2167,98.0,125.0
356,Barreiro,Portugal,Europe,Barreiro City Center,38.6667,-9.0833,0.0,27.0
357,Vila Nova de Gaia,Portugal,Europe,Vila Nova de Gaia City Center,41.0667,-8.6667,-1.0,26.0
358,Sosnowiec,Poland,Europe,Sosnowiec City Center,50.2667,19.1167,245.0,272.0
359,Olomouc,Czechia,Europe,Olomouc City Center,49.6333,17.25,212.0,239.0
360,Bradford,United Kingdom,Europe,Bradford City Center,53.8,-1.75,99.0,126.0
361,Abu Dhabi,United Arab Emirates,Asia,Abu Dhabi City Center,24.4667,54.4167,2.0,29.0
362,Amman,Jordan,Asia,Amman City Center,31.95,35.9333,784.0,811.0
363,Bandar Seri Begawan,Brunei,Asia,Bandar Seri Begawan City Center,4.9333,114.9667,50.0,77.0
364,Be'er Sheva,Israel,Asia,Be'er Sheva City Center,31.25,34.7833,282.0,309.0
365,Beirut,Lebanon,Asia,Beirut City Center,33.8833,35.5,96.0,123.0
366,Bnei Brak,Israel,Asia,Bnei Brak City Center,32.0833,34.8667,45.0,72.0
367,Chattogram,Bangladesh,Asia,Chattogram City Center,22.3333,91.8,7.0,34.0
368,Colombo,Sri Lanka,Asia,Colombo City Center,6.9333,79.85,11.0,38.0
369,Da Nang,Vietnam,Asia,Da Nang City Center,16.0667,108.2333,9.0,36.0
370,Dehiwala,Sri Lanka,Asia,Dehiwala City Center,6.8667,79.8667,18.0,45.0
371,Dhaka,Bangladesh,Asia,Dhaka City Center,23.7167,90.4167,17.0,44.0
372,Faisalabad,Pakistan,Asia,Faisalabad City Center,31.4167,73.15,184.0,211.0
373,Galle,Sri Lanka,Asia,Galle City Center,6.0167,80.2167,-7.0,20.0
374,Gujranwala,Pakistan,Asia,Gujranwala City Center,32.1,74.1833,222.0,249.0
375,Haifa,Israel,Asia,Haifa City Center,32.8167,34.9833,129.0,156.0
376,Haiphong,Vietnam,Asia,Haiphong City Center,20.8333,106.6833,2.0,29.0
377,Hanoi,Vietnam,Asia,Hanoi City Center,21.0333,105.85,22.0,49.0
378,Ho Chi Minh City,Vietnam,Asia,Ho Chi Minh City City Center,10.75,106.6667,4.0,31.0
379,Holon,Israel,Asia,Holon City Center,32.0333,34.7833,21.0,48.0
380,Hyderabad,Pakistan,Asia,Hyderabad City Center,25.3833,68.4,21.0,48.0
381,Irbid,Jordan,Asia,Irbid City Center,32.55,35.85,569.0,596.0
382,Islamabad,Pakistan,Asia,Islamabad City Center,33.7,73.1667,526.0,553.0
383,Jaffna,Sri Lanka,Asia,Jaffna City Center,9.6667,80.0167,9.0,36.0
384,Jerusalem,Israel,Asia,Jerusalem City Center,31.7833,35.2167,801.0,828.0
385,Kandy,Sri Lanka,Asia,Kandy City Center,7.2833,80.6667,428.0,455.0
386,Karachi,Pakistan,Asia,Karachi City Center,24.8667,67.05,36.0,63.0
387,Kathmandu,Nepal,Asia,Kathmandu City Center,27.7,85.3333,1303.0,1330.0
388,Kuwait City,Kuwait,Asia,Kuwait City City Center,29.3333,47.9833,20.0,47.0
389,Lahore,Pakistan,Asia,Lahore City Center,31.5667,74.3667,223.0,250.0
390,Manama,Bahrain,Asia,Manama City Center,26.2,50.6333,-4.0,23.0
391,Muscat,Oman,Asia,Muscat City Center,23.6167,58.6333,-46.0,-19.0
392,Nha Trang,Vietnam,Asia,Nha Trang City Center,12.25,109.1667,2.0,29.0
393,Petah Tikva,Israel,Asia,Petah Tikva City Center,32.087,34.8781,44.0,71.0
394,Phnom Penh,Cambodia,Asia,Phnom Penh City Center,11.55,104.9167,16.0,43.0
395,Quy Nhon,Vietnam,Asia,Quy Nhon City Center,13.7833,109.1833,6.0,33.0
396,Ramat Gan,Israel,Asia,Ramat Gan City Center,32.0667,34.8,32.0,59.0
397,Rawalpindi,Pakistan,Asia,Rawalpindi City Center,33.6667,73.1333,501.0,528.0
398,Sharjah,United Arab Emirates,Asia,Sharjah City Center,25.3333,55.4333,13.0,40.0
399,Tripoli,Lebanon,Asia,Tripoli City Center,34.45,35.8333,7.0,34.0
400,Ulaanbaatar,Mongolia,Asia,Ulaanbaatar City Center,47.9167,106.8833,1291.0,1318.0
401,Mito,Japan,Asia,Mito City Center,36.3659,140.4712,12.0,39.0
402,Utsunomiya,Japan,Asia,Utsunomiya City Center,36.5551,139.8828,121.0,148.0
403,Maebashi,Japan,Asia,Maebashi City Center,36.3895,139.0634,116.0,143.0
404,Takasaki,Japan,Asia,Takasaki City Center,36.3219,139.0033,97.0,124.0
405,Kawagoe,Japan,Asia,Kawagoe City Center,35.9251,139.4858,32.0,59.0
406,Kawaguchi,Japan,Asia,Kawaguchi City Center,35.8077,139.7241,8.0,35.0
407,Tokorozawa,Japan,Asia,Tokorozawa City Center,35.7997,139.4686,73.0,100.0
408,Koshigaya,Japan,Asia,Koshigaya City Center,35.891,139.7909,7.0,34.0
409,Hirakata,Japan,Asia,Hirakata City Center,34.8143,135.6507,20.0,47.0
410,Suita,Japan,Asia,Suita City Center,34.7595,135.5169,4.0,31.0
411,Toyonaka,Japan,Asia,Toyonaka City Center,34.7813,135.469,28.0,55.0
412,Akashi,Japan,Asia,Akashi City Center,34.6431,134.9972,8.0,35.0
413,Nishinomiya,Japan,Asia,Nishinomiya City Center,34.7377,135.3416,14.0,41.0
414,Amagasaki,Japan,Asia,Amagasaki City Center,34.7337,135.4064,16.0,43.0
415,Matsue,Japan,Asia,Matsue City Center,35.4681,133.0484,3.0,30.0
416,Tottori,Japan,Asia,Tottori City Center,35.5011,134.2351,10.0,37.0
417,Yamagata,Japan,Asia,Yamagata City Center,38.2554,140.3396,154.0,181.0
418,Fukushima,Japan,Asia,Fukushima City Center,37.7608,140.4747,69.0,96.0
419,Morioka,Japan,Asia,Morioka City Center,39.7036,141.1527,139.0,166.0
420,Aomori,Japan,Asia,Aomori City Center,40.8221,140.7474,9.0,36.0
421,Hachinohe,Japan,Asia,Hachinohe City Center,40.5123,141.4884,20.0,47.0
422,Koriyama,Japan,Asia,Koriyama City Center,37.4005,140.3597,253.0,280.0
423,Iwaki,Japan,Asia,Iwaki City Center,37.0505,140.8877,10.0,37.0
424,Tsukuba,Japan,Asia,Tsukuba City Center,36.0835,140.0764,26.0,53.0
425,Nagaoka,Japan,Asia,Nagaoka City Center,37.4463,138.8513,28.0,55.0
426,Abidjan,Côte d'Ivoire,Africa,Abidjan City Center,5.3167,-4.0333,15.0,42.0
427,Accra,Ghana,Africa,Accra City Center,5.6037,-0.187,60.0,87.0
428,Agadir,Morocco,Africa,Agadir City Center,30.4278,-9.5981,56.0,83.0
429,Algiers,Algeria,Africa,Algiers City Center,36.7833,3.05,119.0,146.0
430,Annaba,Algeria,Africa,Annaba City Center,36.9167,7.7833,-4.0,23.0
431,Arusha,Tanzania,Africa,Arusha City Center,-3.3833,36.6667,1359.0,1386.0
432,Blida,Algeria,Africa,Blida City Center,36.5,2.8333,179.0,206.0
433,Bouaké,Côte d'Ivoire,Africa,Bouaké City Center,7.7,-5.0,348.0,375.0
434,Bulawayo,Zimbabwe,Africa,Bulawayo City Center,-20.1667,28.7167,1376.0,1403.0
435,Casablanca,Morocco,Africa,Casablanca City Center,33.5731,-7.5898,47.0,74.0
436,Chingola,Zambia,Africa,Chingola City Center,-12.5167,27.8833,1330.0,1357.0
437,Constantine,Algeria,Africa,Constantine City Center,36.3667,6.6667,698.0,725.0
438,Dakar,Senegal,Africa,Dakar City Center,14.6667,-17.4333,36.0,63.0
439,Daloa,Côte d'Ivoire,Africa,Daloa City Center,6.9333,-6.4667,263.0,290.0
440,Dar es Salaam,Tanzania,Africa,Dar es Salaam City Center,-6.8,39.2833,12.0,39.0
441,Dodoma,Tanzania,Africa,Dodoma City Center,-6.1667,35.6667,1139.0,1166.0
442,Entebbe,Uganda,Africa,Entebbe City Center,0.0667,32.45,1141.0,1168.0
443,Fez,Morocco,Africa,Fez City Center,34.0331,-5.0003,406.0,433.0
444,Francistown,Botswana,Africa,Francistown City Center,-21.1167,27.5333,1030.0,1057.0
445,Gaborone,Botswana,Africa,Gaborone City Center,-24.75,25.9167,1133.0,1160.0
446,Gweru,Zimbabwe,Africa,Gweru City Center,-19.45,29.8167,1412.0,1439.0
447,Harare,Zimbabwe,Africa,Harare City Center,-17.8333,31.05,1482.0,1509.0
448,Jinja,Uganda,Africa,Jinja City Center,0.45,33.2333,1163.0,1190.0
449,Kampala,Uganda,Africa,Kampala City Center,0.3333,32.5833,1180.0,1207.0
450,Kaolack,Senegal,Africa,Kaolack City Center,14.15,-16.1333,4.0,31.0
451,Keetmanshoop,Namibia,Africa,Keetmanshoop City Center,-26.6,18.1333,949.0,976.0
452,Kénitra,Morocco,Africa,Kénitra City Center,34.261,-6.5802,13.0,40.0
453,Kisumu,Kenya,Africa,Kisumu City Center,-0.1333,34.7833,1143.0,1170.0
454,Kitwe,Zambia,Africa,Kitwe City Center,-12.8333,28.1833,1250.0,1277.0
455,Kumasi,Ghana,Africa,Kumasi City Center,6.6885,-1.6244,271.0,298.0
456,Lusaka,Zambia,Africa,Lusaka City Center,-15.3875,28.3228,1251.0,1278.0
457,Marrakesh,Morocco,Africa,Marrakesh City Center,31.6342,-7.9999,457.0,484.0
458,Mbale,Uganda,Africa,Mbale City Center,1.0667,34.2,1165.0,1192.0
459,Meknes,Morocco,Africa,Meknes City Center,33.8935,-5.5473,532.0,559.0
460,Mombasa,Kenya,Africa,Mombasa City Center,-4.0435,39.6682,23.0,50.0
461,Mwanza,Tanzania,Africa,Mwanza City Center,-2.5167,32.9333,1277.0,1304.0
462,Nairobi,Kenya,Africa,Nairobi City Center,-1.2864,36.8172,1667.0,1694.0
463,Nakuru,Kenya,Africa,Nakuru City Center,-0.2667,36.0667,1949.0,1976.0
464,Ndola,Zambia,Africa,Ndola City Center,-13.0,28.65,1263.0,1290.0
465,Oran,Algeria,Africa,Oran City Center,35.75,-0.6333,-80.0,-53.0
466,Oujda,Morocco,Africa,Oujda City Center,34.6814,-1.9086,550.0,577.0
467,Port Louis,Mauritius,Africa,Port Louis City Center,-20.1667,57.5,16.0,43.0
468,Rabat,Morocco,Africa,Rabat City Center,34.0209,-6.8416,23.0,50.0
469,Safi,Morocco,Africa,Safi City Center,32.2994,-9.2372,50.0,77.0
470,Saint-Louis,Senegal,Africa,Saint-Louis City Center,16.0167,-16.5,3.0,30.0
471,Zanzibar City,Tanzania,Africa,Zanzibar City City Center,-6.2,39.2,0.0,27.0
472,Sétif,Algeria,Africa,Sétif City Center,36.1833,5.4,1046.0,1073.0
473,Sidi Bel Abbès,Algeria,Africa,Sidi Bel Abbès City Center,35.25,-0.65,448.0,475.0
474,Tamale,Ghana,Africa,Tamale City Center,9.4333,-0.8167,141.0,168.0
475,Tangier,Morocco,Africa,Tangier City Center,35.7673,-5.7998,21.0,48.0
476,Tetouan,Morocco,Africa,Tetouan City Center,35.5889,-5.3626,128.0,155.0
477,Thies,Senegal,Africa,Thies City Center,14.8167,-16.8667,45.0,72.0
478,Tlemcen,Algeria,Africa,Tlemcen City Center,34.8833,-1.35,753.0,780.0
479,Windhoek,Namibia,Africa,Windhoek City Center,-22.5609,17.0658,1657.0,1684.0
480,Ziguinchor,Senegal,Africa,Ziguinchor City Center,12.5833,-16.3333,5.0,32.0
481,Levin,New Zealand,Oceania,Levin City Center,-40.6223,175.2867,36.0,63.0
482,Paraparaumu,New Zealand,Oceania,Paraparaumu City Center,-40.9167,175.0167,78.0,105.0
483,Oamaru,New Zealand,Oceania,Oamaru City Center,-45.0976,170.9704,13.0,40.0
484,Gore,New Zealand,Oceania,Gore City Center,-46.1028,168.9436,74.0,101.0
485,Feilding,New Zealand,Oceania,Feilding City Center,-40.2258,175.5656,74.0,101.0
486,Tokoroa,New Zealand,Oceania,Tokoroa City Center,-38.2248,175.8708,343.0,370.0
487,Cambridge,New Zealand,Oceania,Cambridge City Center,-37.8918,175.4691,74.0,101.0
488,Te Awamutu,New Zealand,Oceania,Te Awamutu City Center,-38.0095,175.3252,60.0,87.0
489,Pukekohe,New Zealand,Oceania,Pukekohe City Center,-37.2012,174.9031,74.0,101.0
490,Kerikeri,New Zealand,Oceania,Kerikeri City Center,-35.228,173.947,76.0,103.0
491,Suva,Fiji,Oceania,Suva City Center,-18.1416,178.4419,59.0,86.0
492,Port Moresby,Papua New Guinea,Oceania,Port Moresby City Center,-9.4438,147.1803,80.0,107.0
493,Lae,Papua New Guinea,Oceania,Lae City Center,-6.7155,146.9999,16.0,43.0
494,Apia,Samoa,Oceania,Apia City Center,-13.8333,-171.7667,10.0,37.0
495,Nuku'alofa,Tonga,Oceania,Nuku'alofa City Center,-21.1394,-175.2049,9.0,36.0
496,Port Vila,Vanuatu,Oceania,Port Vila City Center,-17.7333,168.3273,52.0,79.0
497,Honiara,Solomon Islands,Oceania,Honiara City Center,-9.4333,159.95,50.0,77.0
498,Nouméa,New Caledonia,Oceania,Nouméa City Center,-22.2758,166.458,2.0,29.0
499,Majuro,Marshall Islands,Oceania,Majuro City Center,7.1164,171.1858,-7.0,20.0
500,Koror,Palau,Oceania,Koror City Center,7.3419,134.4792,20.0,47.0
